Designator,Component,Number,Cost per unit - COP,Total cost - COP,Source of materials,Material type
U1,Seeed Studio XIAO ESP32-C6 (nodo sensor),3,30000,90000,https://www.seeedstudio.com/,Semi-conductor
U2,Placa ESP32-C6 Touch LCD 1.47 (gateway/visualizador),1,90000,90000,Distribuidor local,Semi-conductor
U3,Modulo LoRa Ebyte E220-400T22D (LLCC68; 410.125-493.125 MHz; 22 dBm; antena SMA),4,30000,120000,https://www.cdebyte.com/products/E220-400T22D,Semi-conductor
RT1,Sonda PT100 magnetica de 3 hilos ZUIDID (elemento de pelicula delgada; sonda 19x9.5 mm; cable -60 a +200 C; terminal en U; clase de tolerancia no indicada),3,30000,90000,https://www.aliexpress.com/item/1005008619909588.html,Metal
U4,Modulo acondicionador MAX31865,3,14000,42000,https://www.sigmaelectronica.net/,Semi-conductor
BT1,Bateria LiPo 3.7 V 1000 mAh,3,30000,90000,https://www.didacticaselectronicas.com/,Other
U5,Modulo de carga/proteccion LiPo (TP4056 o equivalente),3,5000,15000,Distribuidor local,Semi-conductor
R1,Resistencia 344.8 kOhm (divisor bateria),3,incluido en cableado,0,Distribuidor local,Other
R2,Resistencia 994.3 kOhm (divisor bateria),3,incluido en cableado,0,Distribuidor local,Other
MEC1,Carcasa impresa en PLA,4,10000,40000,Impresion propia,Polymer
W1,"Cables, conectores, pines, tornilleria y adhesivos",1,50000,50000,Distribuidor local,Other
